Input_FID,Join_Count,TARGET_FID,NAME,ADDRESS,CITY,ZIP,DISTRICT,DIST_NO,TYPE,PHONE,WEBSITE,PRS_ID,GRADE,Area_Acres,Rel_Size,Urban_Desig,pointid,PctImpSurface,Imp_Rank,ORIG_FID,Shape_Length,Shape_Area
3,941,3,Weyerhaeuser Elementary School,6105 365TH ST E,EATONVILLE,98328,EATONVILLE,404,ELEM,(360) 879-1650,https://www.eatonville.wednet.edu/wes,0,K-6,3.899898145657911,Large,Non-Urban,69601,18.597252,Least Impervious,3,75115.18261963787,344486781.071777
5,412,5,Roy Elementary School,340 PETERSON ST S,ROY,98580,BETHEL,403,ELEM,(253) 800-5100,https://res.bethelsd.org/,0,K-6,1.7169284922359531,Average,Non-Urban,68835,35.64354,Least Impervious,5,70424.43991747599,261178350.11490905
4,342,4,McKenna Elementary,35120 SR 507 S,MCKENNA,98558,YELM,002,ELEM,(360) 458-2400,https://www.ycs.wednet.edu/mckenna,0,K-6,1.4370706485041138,Average,Urban,69253,47.522987,Middle,4,72356.65765782117,132937831.51413962
15,368,15,Rainier Elementary School,2410 STRYKER AVE,JBLM,98433,CLOVER PARK,400,ELEM,(253) 583-5220,https://rainier.cloverpark.k12.wa.us/,0,K-6,1.5346152391945194,Average,Urban,61748,62.42359,Most Impervious,15,45747.47688377518,108246643.85931599
140,40,140,Bethel Hope Early Learning Center,214 167TH ST S,SPANAWAY,98387,BETHEL,403,ELEM,(253) 800-4100,https://www.bethelsd.org/programs-departments/child-find/early-childhood-education,0,PK,0.1840643818362796,Small,Urban,56652,54.659092,Middle,140,22094.01728972608,7189815.111381135
22,455,22,Evergreen Elementary School,1311 172ND ST E,SPANAWAY,98387,BETHEL,403,ELEM,(253) 800-8200,https://ees.bethelsd.org/,0,K-6,1.8994310973871331,Average,Urban,58200,47.930283,Middle,22,14361.759235975098,9573367.428791333
23,487,23,Chloe Clark Elementary,1700 PALISADE BLVD,DUPONT,98327,STEILACOOM,001,ELEM,(253) 583-7100,https://cc.steilacoom.k12.wa.us/,0,K-6,2.019174066535159,Average,Urban,58053,46.30612,Middle,23,90360.92238269161,119297900.19539282
37,264,37,Tillicum Elementary School,8514 MAPLE ST SW,LAKEWOOD,98498,CLOVER PARK,400,ELEM,(253) 583-5370,https://tillicum.cloverpark.k12.wa.us/,0,K-6,1.1029714863311313,Average,Urban,49638,52.033707,Middle,37,14788.104577124632,13187285.03985095
31,798,31,Evergreen Elementary School - Fort Lewis,9020 BLAINE AVE,JBLM LEWIS MAIN,98433,CLOVER PARK,400,ELEM,(253) 583-5250,https://evergreen.cloverpark.k12.wa.us/,0,K-6,3.3233643633623084,Large,Urban,53039,47.88792,Middle,31,19217.305998553005,13245847.458671464
65,403,65,Anderson Island Elementary,13005 CAMUS RD,ANDERSON ISLAND,98303,STEILACOOM,001,ELEM,(253) 884-4901,https://aie.steilacoom.k12.wa.us/,0,K-6,1.7061999914535977,Average,Non-Urban,33198,4.5689654,Least Impervious,65,70627.08420387725,221063944.1480505
34,214,34,Beachwood Elementary School,8890 CONCORD AVE,JBLM LEWIS N,98433,CLOVER PARK,400,ELEM,(253) 583-5260,https://beachwood.cloverpark.k12.wa.us/,0,K-6,0.9008711184352378,Small,Urban,52235,64.09677,Most Impervious,34,17532.346033530757,18224005.34947892
27,524,27,Hillside Elementary School,61700 GARCIA BLVD,JBLM LEWIS MAIN,98433,CLOVER PARK,400,ELEM,(253) 583-5280,https://hillside.cloverpark.k12.wa.us/,0,K-6,2.2129336508605357,Average,Urban,55903,61.291046,Most Impervious,27,30060.15043267438,49002872.71264771
33,91,33,Imagination School,14824 C ST S,TACOMA,98444,NOT APPLICABLE, ,ELEM,(253) 535-2522,https://www.imaginationschool.org/,0,PRE-6,0.36882077495467774,Small,Urban,52508,89.81721,Most Impervious,33,16130.328922462624,13333543.624765024
42,295,42,Elmhurst Elementary School,420 133RD ST E,TACOMA,98445,FRANKLIN PIERCE,402,ELEM,(253) 298-3501,https://elmhurst.fpschools.org/,0,K-6,1.2936069937952022,Average,Urban,46902,48.20736,Middle,42,12618.009047191143,8427385.841246499
28,222,28,Spanaway Elementary School,412 165TH ST S,SPANAWAY,98387,BETHEL,403,ELEM,(253) 800-5300,https://ses.bethelsd.org/,0,PRE-6,0.9349218480189566,Small,Urban,55888,68.613335,Most Impervious,28,23687.56065858314,24270130.477553226
44,209,44,Brookdale Elementary School,611 132ND ST S,TACOMA,98444,FRANKLIN PIERCE,402,ELEM,(253) 298-3100,https://brookdale.fpschools.org/,0,K-6,0.8907302649871411,Small,Urban,44689,62.384975,Most Impervious,44,16231.821037885209,12884181.93203936
48,924,48,Meriwether Elementary School,10285 COMPASS AVE,JBLM LEWIS N,98433,CLOVER PARK,400,ELEM,(253) 583-5200,https://meriwether.cloverpark.k12.wa.us/,0,K-6,3.8724234387456415,Large,Urban,42900,58.35231,Most Impervious,48,20441.99192690039,22455992.98482025
75,194,75,Oak Grove Elementary,8805 STEILACOOM BLVD SW,LAKEWOOD,98498,CLOVER PARK,400,ELEM,(253) 583-5415, ,0,K-6,0.82130183775762,Small,Urban,28572,43.71212,Middle,75,28217.390530499735,34501006.96718814
64,343,64,Cherrydale Primary School,1201 GALLOWAY ST,STEILACOOM,98388,STEILACOOM,001,ELEM,(253) 983-2500,https://cd.steilacoom.k12.wa.us/,0,K-6,1.4429439143251976,Average,Urban,33360,51.37971,Middle,64,18825.63637648212,14568696.227631502
74,663,74,Custer Elementary School,7801 STEILACOOM BLVD SW,LAKEWOOD,98498,CLOVER PARK,400,ELEM,(253) 583-5230,https://custer.cloverpark.k12.wa.us/,0,K-6,2.7195134530275484,Average,Urban,28610,34.934032,Least Impervious,74,9464.316613452438,5468203.582052424
55,441,55,Lake Louise Elementary School,11014 HOLDEN RD SW,LAKEWOOD,98498,CLOVER PARK,400,ELEM,(253) 583-5310,https://lakelouise.cloverpark.k12.wa.us/,0,K-6,1.839931561597532,Average,Urban,37166,38.40136,Middle,55,13533.411301875029,11064382.297259565
63,286,63,Park Lodge Elementary School,6300 100TH ST SW,LAKEWOOD,98499,CLOVER PARK,400,ELEM,(253) 583-5350,https://parklodge.cloverpark.k12.wa.us/,0,K-6,1.186538249193744,Average,Urban,33677,54.572414,Middle,63,10182.325215444946,6885843.5015518945
58,451,58,Idlewild Elementary School,10806 IDLEWILD RD SW,LAKEWOOD,98498,CLOVER PARK,400,ELEM,(253) 583-5290,https://idlewild.cloverpark.k12.wa.us/,0,K-6,1.8228385711311228,Average,Urban,36188,34.94235,Least Impervious,58,13857.624310869112,12858300.857706962
